,gene_ID,type,gene_symbol,start,stop,description,pos,pathway
2681,ECB_02553,cds,srlE,2721251,2722210,glucitol/sorbitol-specific enzyme IIB component of PTS,2721730.5,"{'ebr00051': 'Fructose and mannose metabolism', 'ebr01100': 'Metabolic pathways', 'ebr02060': 'Phosphotransferase system (PTS)'}"
2682,ECB_02554,cds,srlB,2722221,2722592,glucitol/sorbitol-specific enzyme IIA component of PTS,2722406.5,"{'ebr00051': 'Fructose and mannose metabolism', 'ebr01100': 'Metabolic pathways', 'ebr02060': 'Phosphotransferase system (PTS)'}"
2683,ECB_02555,cds,srlD,2722596,2723375,3-ketoacyl-(acyl-carrier-protein) reductase,2722985.5,"{'ebr00051': 'Fructose and mannose metabolism', 'ebr01100': 'Metabolic pathways'}"
2684,ECB_02556,cds,gutM,2723481,2723840,DNA-binding transcriptional activator of glucitol operon,2723660.5,
2685,ECB_02557,cds,srlR,2723907,2724680,DNA-bindng transcriptional repressor,2724293.5,
2686,ECB_02558,cds,gutQ,2724673,2725638,predicted phosphosugar-binding protein,2725155.5,
2687,ECB_02559,cds,ygaA,2725635,2727149,anaerobic nitric oxide reductase transcription regulator,2726392.0,
2688,ECB_02560,cds,norV,2727336,2728775,anaerobic nitric oxide reductase flavorubredoxin,2728055.5,
2689,ECB_02561,cds,ygbD,2728772,2729905,nitric oxide reductase,2729338.5,
2690,ECB_02562,cds,hypF,2730033,2732285,carbamoyl phosphate phosphatase and maturation protein,2731159.0,
2691,ECB_02563,cds,hydN,2732438,2732965,"formate dehydrogenase-H, [4Fe-4S] ferredoxin subunit",2732701.5,
2692,ECB_02564,cds,ascG,2733114,2734127,DNA-binding transcriptional repressor,2733620.5,
2693,ECB_02565,cds,ascF,2734384,2735841,fused cellobiose/arbutin/salicin-specific PTS enzymes,2735112.5,"{'ebr00010': 'Glycolysis / Gluconeogenesis', 'ebr02060': 'Phosphotransferase system (PTS)'}"
2694,ECB_02566,cds,ascB,2735850,2737274,cryptic 6-phospho-beta-glucosidase,2736562.0,"{'ebr00010': 'Glycolysis / Gluconeogenesis', 'ebr00500': 'Starch and sucrose metabolism'}"
2695,ECB_02567,cds,hycI,2737433,2737903,protease,2737668.0,
2696,ECB_02568,cds,hycH,2737896,2738306,HycH,2738101.0,
2697,ECB_02569,cds,hycG,2738303,2739070,"hydrogenase 3 and formate hydrogenase complex, HycG subunit",2738686.5,
2698,ECB_02570,cds,hycF,2739070,2739612,formate hydrogenlyase complex iron-sulfur protein,2739341.0,
2699,ECB_02571,cds,hycE,2739622,2741331,"hydrogenase 3, large subunit",2740476.5,
2700,ECB_02572,cds,hycD,2741349,2742272,"hydrogenase 3, membrane subunit",2741810.5,
2701,ECB_02573,cds,hycC,2742275,2744101,NADH dehydrogenase subunit N,2743188.0,
2702,ECB_02574,cds,hycB,2744098,2744709,"hydrogenase 3, Fe-S subunit",2744403.5,
2703,ECB_02575,cds,hycA,2744834,2745295,regulator of the transcriptional regulator FhlA,2745064.5,
2704,ECB_02576,cds,hypA,2745507,2745857,HypA,2745682.0,
2705,ECB_02577,cds,hypB,2745861,2746733,HypB,2746297.0,
2706,ECB_02578,cds,hypC,2746724,2746996,HypC,2746860.0,
2707,ECB_02579,cds,hypD,2746996,2748117,HypD,2747556.5,
2708,ECB_02580,cds,hypE,2748156,2749124,"carbamoyl phosphate phosphatase, hydrogenase 3 maturation protein",2748640.0,
2709,ECB_02581,cds,fhlA,2749198,2751276,DNA-binding transcriptional activator,2750237.0,
2710,ECB_02582,cds,ygbA,2751313,2751666,hypothetical protein,2751489.5,
2711,ECB_02583,cds,mutS,2751953,2754514,DNA mismatch repair protein,2753233.5,{'ebr03430': 'Mismatch repair'}
2712,ECB_02584,cds,pphB,2754620,2755276,serine/threonine-specific protein phosphatase 2,2754948.0,
2713,ECB_02585,cds,ygbI,2755327,2756124,predicted DNA-binding transcriptional regulator,2755725.5,
2714,ECB_02586,cds,ygbJ,2756290,2757198,"predicted dehydrogenase, with NAD(P)-binding Rossmann-fold domain",2756744.0,
2715,ECB_02587,cds,ygbK,2757195,2758457,hypothetical protein,2757826.0,
2716,ECB_02588,cds,ygbL,2758454,2759092,hypothetical protein,2758773.0,
2717,ECB_02589,cds,ygbM,2759097,2759873,hypothetical protein,2759485.0,
2718,ECB_02590,cds,ygbN,2759962,2761326,predicted transporter,2760644.0,
2719,ECB_02591,cds,rpoS,2761420,2762412,RNA polymerase sigma factor,2761916.0,{'ebr02026': 'Biofilm formation - Escherichia coli'}
2720,ECB_02592,cds,nlpD,2762475,2763614,predicted outer membrane lipoprotein,2763044.5,
2721,ECB_02593,cds,pcm,2763754,2764380,protein-L-isoaspartate O-methyltransferase,2764067.0,
2722,ECB_02594,cds,surE,2764374,2765135,acid phosphatase,2764754.5,"{'ebr00230': 'Purine metabolism', 'ebr00240': 'Pyrimidine metabolism', 'ebr00760': 'Nicotinate and nicotinamide metabolism', 'ebr01100': 'Metabolic pathways', 'ebr01110': 'Biosynthesis of secondary metabolites', 'ebr01232': 'Nucleotide metabolism'}"
2723,ECB_02595,cds,ygbO,2765116,2766165,tRNA pseudouridine synthase D,2765640.5,
2724,ECB_02596,cds,ispF,2766162,2766641,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase",2766401.5,"{'ebr00900': 'Terpenoid backbone biosynthesis', 'ebr01100': 'Metabolic pathways', 'ebr01110': 'Biosynthesis of secondary metabolites'}"
2725,ECB_02597,cds,ispD,2766641,2767351,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,2766996.0,"{'ebr00900': 'Terpenoid backbone biosynthesis', 'ebr01100': 'Metabolic pathways', 'ebr01110': 'Biosynthesis of secondary metabolites'}"
2726,ECB_02598,cds,ftsB,2767370,2767681,cell divison protein FtsB,2767525.5,
2727,ECB_02599,cds,ygbE,2767875,2768198,conserved inner membrane protein,2768036.5,
2728,ECB_02600,cds,cysC,2768248,2768853,adenylylsulfate kinase,2768550.5,"{'ebr00230': 'Purine metabolism', 'ebr00920': 'Sulfur metabolism', 'ebr01100': 'Metabolic pathways', 'ebr01120': 'Microbial metabolism in diverse environments'}"
2729,ECB_02601,cds,cysN,2768853,2770280,sulfate adenylyltransferase subunit 1,2769566.5,"{'ebr00230': 'Purine metabolism', 'ebr00261': 'Monobactam biosynthesis', 'ebr00450': 'Selenocompound metabolism', 'ebr00920': 'Sulfur metabolism', 'ebr01100': 'Metabolic pathways', 'ebr01110': 'Biosynthesis of secondary metabolites', 'ebr01120': 'Microbial metabolism in diverse environments'}"
2730,ECB_02602,cds,cysD,2770282,2771190,sulfate adenylyltransferase subunit 2,2770736.0,"{'ebr00230': 'Purine metabolism', 'ebr00261': 'Monobactam biosynthesis', 'ebr00450': 'Selenocompound metabolism', 'ebr00920': 'Sulfur metabolism', 'ebr01100': 'Metabolic pathways', 'ebr01110': 'Biosynthesis of secondary metabolites', 'ebr01120': 'Microbial metabolism in diverse environments'}"
2731,ECB_02603,cds,iap,2771442,2772479,aminopeptidase in alkaline phosphatase isozyme conversion,2771960.5,
2732,ECB_02604,cds,insL-5,2772911,2774023,putative transposase insL for insertion sequence IS186,2773467.0,
2733,ECB_02605,cds,insK-3,2774461,2775312,IS150 putative transposase,2774886.5,
2734,ECB_02606,cds,insJ-3,2775309,2775830,IS150 hypothetical protein,2775569.5,
2735,EBG00001040687,ncrna,sok,2775801,2775956,,2775878.5,
2736,ECB_02607,cds,cysH,2776079,2776813,phosphoadenosine phosphosulfate reductase,2776446.0,"{'ebr00920': 'Sulfur metabolism', 'ebr01100': 'Metabolic pathways', 'ebr01120': 'Microbial metabolism in diverse environments'}"
2737,ECB_02608,cds,cysI,2776887,2778599,"sulfite reductase, beta subunit, NAD(P)-binding, heme-binding",2777743.0,"{'ebr00920': 'Sulfur metabolism', 'ebr01100': 'Metabolic pathways', 'ebr01120': 'Microbial metabolism in diverse environments'}"
2738,ECB_02609,cds,cysJ,2778599,2780398,"sulfite reductase, alpha subunit, flavoprotein",2779498.5,"{'ebr00920': 'Sulfur metabolism', 'ebr01100': 'Metabolic pathways', 'ebr01120': 'Microbial metabolism in diverse environments'}"
2739,ECB_02610,cds,ygcM,2780714,2781079,6-pyruvoyl tetrahydrobiopterin synthase (PTPS),2780896.5,"{'ebr00790': 'Folate biosynthesis', 'ebr01100': 'Metabolic pathways', 'ebr01240': 'Biosynthesis of cofactors'}"
2740,ECB_02611,cds,ygcN,2781157,2782428,predicted oxidoreductase with FAD/NAD(P)-binding domain,2781792.5,
2741,ECB_02612,cds,ygcO,2782419,2782679,predicted 4Fe-4S cluster-containing protein,2782549.0,
2742,ECB_02613,cds,ygcP,2782696,2783271,predicted anti-terminator regulatory protein,2782983.5,
2743,ECB_02614,cds,ygcQ,2783419,2784279,predicted flavoprotein,2783849.0,
2744,ECB_02615,cds,ygcR,2784276,2785055,predicted flavoprotein,2784665.5,
2745,ECB_02616,cds,ygcS,2785033,2786370,predicted transporter,2785701.5,
2746,ECB_02617,cds,ygcU,2786464,2787918,predicted FAD containing dehydrogenase,2787191.0,
2747,ECB_02618,cds,ygcW,2787988,2788773,predicted deoxygluconate dehydrogenase,2788380.5,
2748,ECB_02619,cds,yqcE,2789092,2790369,predicted transporter,2789730.5,
2749,ECB_02620,cds,ygcE,2790396,2791874,predicted kinase,2791135.0,
2751,ECB_02622,cds,ygcF,2793675,2794346,hypothetical protein,2794010.5,"{'ebr00790': 'Folate biosynthesis', 'ebr01100': 'Metabolic pathways'}"
2752,ECB_02623,cds,ygcG,2794639,2795511,hypothetical protein,2795075.0,
2753,ECB_02624,cds,eno,2795571,2796869,phosphopyruvate hydratase,2796220.0,"{'ebr00010': 'Glycolysis / Gluconeogenesis', 'ebr00680': 'Methane metabolism', 'ebr01100': 'Metabolic pathways', 'ebr01110': 'Biosynthesis of secondary metabolites', 'ebr01120': 'Microbial metabolism in diverse environments', 'ebr01200': 'Carbon metabolism', 'ebr01230': 'Biosynthesis of amino acids', 'ebr03018': 'RNA degradation'}"
2754,ECB_02625,cds,pyrG,2796957,2798594,CTP synthetase,2797775.5,"{'ebr00240': 'Pyrimidine metabolism', 'ebr01100': 'Metabolic pathways', 'ebr01232': 'Nucleotide metabolism', 'ebr01240': 'Biosynthesis of cofactors'}"
2755,ECB_02626,cds,mazG,2798822,2799613,nucleoside triphosphate pyrophosphohydrolase,2799217.5,"{'ebr00230': 'Purine metabolism', 'ebr00240': 'Pyrimidine metabolism', 'ebr00760': 'Nicotinate and nicotinamide metabolism', 'ebr00770': 'Pantothenate and CoA biosynthesis', 'ebr01100': 'Metabolic pathways', 'ebr01232': 'Nucleotide metabolism'}"
2756,ECB_02627,cds,chpA,2799684,2800019,"toxin of the ChpA-ChpR toxin-antitoxin system, endoribonuclease",2799851.5,
2757,ECB_02628,cds,chpR,2800019,2800267,antitoxin of the ChpA-ChpR toxin-antitoxin system,2800143.0,
2758,ECB_02629,cds,relA,2800345,2802579,(p)ppGpp synthetase I/GTP pyrophosphokinase,2801462.0,"{'ebr00230': 'Purine metabolism', 'ebr01100': 'Metabolic pathways'}"
2759,ECB_02630,cds,rumA,2802627,2803928,23S rRNA (uracil-5-)-methyltransferase,2803277.5,
2760,ECB_02631,cds,barA,2803985,2806741,"hybrid sensory histidine kinase, in two-component regulatory system with UvrY",2805363.0,"{'ebr02020': 'Two-component system', 'ebr02026': 'Biofilm formation - Escherichia coli'}"
2761,ECB_02632,cds,gudD,2806974,2808314,(D)-glucarate dehydratase 1,2807644.0,"{'ebr00053': 'Ascorbate and aldarate metabolism', 'ebr01100': 'Metabolic pathways'}"
2762,ECB_02633,cds,gudX,2808335,2809675,predicted glucarate dehydratase,2809005.0,
2763,ECB_02634,cds,gudP,2809677,2811029,predicted D-glucarate transporter,2810353.0,
2764,ECB_02635,cds,yqcA,2811464,2811913,flavodoxin,2811688.5,
2765,ECB_02636,cds,yqcB,2811931,2812713,tRNA pseudouridine synthase,2812322.0,
2766,ECB_02637,cds,yqcC,2812713,2813042,hypothetical protein,2812877.5,
2767,EBG00001040627,ncrna,CsrB,2813085,2813444,,2813264.5,
2768,ECB_02638,cds,syd,2813664,2814209,SecY interacting protein Syd,2813936.5,
2769,ECB_02639,cds,yqcD,2814277,2815125,hypothetical protein,2814701.0,"{'ebr00790': 'Folate biosynthesis', 'ebr01100': 'Metabolic pathways'}"
2770,ECB_02640,cds,ygdH,2815237,2816601,hypothetical protein,2815919.0,"{'ebr00230': 'Purine metabolism', 'ebr00240': 'Pyrimidine metabolism', 'ebr01100': 'Metabolic pathways', 'ebr01232': 'Nucleotide metabolism'}"
2771,ECB_02641,cds,sdaC,2817158,2818447,predicted serine transporter,2817802.5,
2772,ECB_02642,cds,sdaB,2818505,2819872,L-serine deaminase II,2819188.5,"{'ebr00260': 'Glycine, serine and threonine metabolism', 'ebr00270': 'Cysteine and methionine metabolism', 'ebr01100': 'Metabolic pathways', 'ebr01110': 'Biosynthesis of secondary metabolites', 'ebr01200': 'Carbon metabolism', 'ebr01230': 'Biosynthesis of amino acids'}"
2773,ECB_02643,cds,xni,2819894,2820739,exonuclease IX,2820316.5,
2774,ECB_02644,cds,fucO,2820794,2821945,"L-1,2-propanediol oxidoreductase",2821369.5,"{'ebr00630': 'Glyoxylate and dicarboxylate metabolism', 'ebr00640': 'Propanoate metabolism', 'ebr01100': 'Metabolic pathways', 'ebr01120': 'Microbial metabolism in diverse environments'}"
2775,ECB_02646,cds,insB-21,2822202,2822705,IS1 protein InsB,2822453.5,
2776,ECB_02647,cds,insA-21,2822624,2822899,IS1 protein InsA,2822761.5,
2782,ECB_02653,cds,fucI,2830203,2831978,L-fucose isomerase,2831090.5,"{'ebr00040': 'Pentose and glucuronate interconversions', 'ebr00051': 'Fructose and mannose metabolism', 'ebr01100': 'Metabolic pathways', 'ebr01120': 'Microbial metabolism in diverse environments'}"
2783,ECB_02654,cds,fucK,2832057,2833505,L-fuculokinase,2832781.0,"{'ebr00040': 'Pentose and glucuronate interconversions', 'ebr00051': 'Fructose and mannose metabolism', 'ebr01100': 'Metabolic pathways', 'ebr01120': 'Microbial metabolism in diverse environments'}"
2784,ECB_02655,cds,fucU,2833507,2833929,L-fucose mutarotase,2833718.0,
2785,ECB_02656,cds,fucR,2833987,2834718,DNA-binding transcriptional activator,2834352.5,
2786,ECB_02657,cds,ygdE,2834762,2835862,predicted methyltransferase,2835312.0,
2787,ECB_02658,cds,ygdD,2835855,2836250,conserved inner membrane protein,2836052.5,
2788,ECB_02659,cds,gcvA,2836269,2837186,DNA-binding transcriptional dual regulator,2836727.5,{'ebr02026': 'Biofilm formation - Escherichia coli'}
2789,EBG00001040654,ncrna,GcvB,2837315,2837520,,2837417.5,
2790,ECB_02660,cds,ygdI,2837537,2837764,hypothetical protein,2837650.5,
2791,ECB_02661,cds,csdA,2837956,2839161,cysteine sulfinate desulfinase,2838558.5,
2792,ECB_02662,cds,ygdK,2839161,2839604,predicted Fe-S metabolism protein,2839382.5,
2793,ECB_02663,cds,ygdL,2839655,2840461,hypothetical protein,2840058.0,
2794,ECB_02664,cds,mltA,2840700,2841797,membrane-bound lytic murein transglycosylase A,2841248.5,
2795,ECB_t00051,ncrna,metZ,2842006,2842082,,2842044.0,{'ebr00970': 'Aminoacyl-tRNA biosynthesis'}
2796,EBG00001040708,ncrna,tRNA,2842006,2842079,,2842042.5,
2797,ECB_t00052,ncrna,metW,2842116,2842192,,2842154.0,{'ebr00970': 'Aminoacyl-tRNA biosynthesis'}
2798,EBG00001040639,ncrna,tRNA,2842116,2842189,,2842152.5,
2799,EBG00001040628,ncrna,tRNA,2842226,2842299,,2842262.5,
2800,ECB_t00053,ncrna,metV,2842226,2842302,,2842264.0,{'ebr00970': 'Aminoacyl-tRNA biosynthesis'}
2801,ECB_02665,cds,amiC,2842376,2843629,N-acetylmuramoyl-L-alanine amidase,2843002.5,{'ebr01503': 'Cationic antimicrobial peptide (CAMP) resistance'}
2802,ECB_02666,cds,argA,2843861,2845192,N-acetylglutamate synthase,2844526.5,"{'ebr00220': 'Arginine biosynthesis', 'ebr01100': 'Metabolic pathways', 'ebr01110': 'Biosynthesis of secondary metabolites', 'ebr01210': '2-Oxocarboxylic acid metabolism', 'ebr01230': 'Biosynthesis of amino acids'}"
2803,ECB_02667,cds,recD,2845254,2847080,"exonuclease V (RecBCD complex), alpha chain",2846167.0,{'ebr03440': 'Homologous recombination'}
2804,ECB_02668,cds,recB,2847080,2850622,"exonuclease V (RecBCD complex), beta subunit",2848851.0,{'ebr03440': 'Homologous recombination'}
2805,ECB_02669,cds,ptr,2850615,2853503,protease III,2852059.0,
2806,ECB_02670,cds,recC,2853679,2857047,"exonuclease V (RecBCD complex), gamma chain",2855363.0,{'ebr03440': 'Homologous recombination'}
2807,ECB_02671,cds,ppdC,2857060,2857383,hypothetical protein,2857221.5,
2808,ECB_02672,cds,ygdB,2857368,2857775,hypothetical protein,2857571.5,
2809,ECB_02673,cds,ppdB,2857772,2858335,hypothetical protein,2858053.5,
2810,ECB_02674,cds,ppdA,2858326,2858796,hypothetical protein,2858561.0,
2811,ECB_02675,cds,thyA,2858981,2859775,thymidylate synthase,2859378.0,"{'ebr00240': 'Pyrimidine metabolism', 'ebr00670': 'One carbon pool by folate', 'ebr01100': 'Metabolic pathways', 'ebr01232': 'Nucleotide metabolism'}"
2812,ECB_02676,cds,lgt,2859782,2860657,prolipoprotein diacylglyceryl transferase,2860219.5,
2813,ECB_02677,cds,ptsP,2860808,2863054,fused PTS enzyme,2861931.0,{'ebr02060': 'Phosphotransferase system (PTS)'}
2814,ECB_02678,cds,ygdP,2863067,2863597,dinucleoside polyphosphate hydrolase,2863332.0,{'ebr03018': 'RNA degradation'}
2815,ECB_02679,cds,mutH,2864282,2864971,DNA mismatch repair protein,2864626.5,{'ebr03430': 'Mismatch repair'}
2816,ECB_02680,cds,ygdQ,2865040,2865753,predicted inner membrane protein,2865396.5,
2817,ECB_02681,cds,ygdR,2865891,2866109,hypothetical protein,2866000.0,
2818,ECB_02682,cds,tas,2866217,2867257,"predicted oxidoreductase, NADP(H)-dependent aldo-keto reductase",2866737.0,
2819,ECB_02683,cds,ygeD,2867289,2868482,predicted inner membrane protein,2867885.5,
2820,ECB_02684,cds,aas,2868475,2870634,2-acyl-glycerophospho-ethanolamine acyltransferase,2869554.5,"{'ebr00071': 'Fatty acid degradation', 'ebr00564': 'Glycerophospholipid metabolism'}"
2821,EBG00001040629,ncrna,OmrA-B,2870722,2870809,,2870765.5,
2822,EBG00001040683,ncrna,OmrA-B,2870925,2871006,,2870965.5,
2823,ECB_02685,cds,galR,2871220,2872251,DNA-binding transcriptional repressor,2871735.5,
2824,ECB_02686,cds,lysA,2872258,2873520,"diaminopimelate decarboxylase, PLP-binding",2872889.0,"{'ebr00300': 'Lysine biosynthesis', 'ebr00470': 'D-Amino acid metabolism', 'ebr01100': 'Metabolic pathways', 'ebr01110': 'Biosynthesis of secondary metabolites', 'ebr01120': 'Microbial metabolism in diverse environments', 'ebr01230': 'Biosynthesis of amino acids'}"
2825,ECB_02687,cds,lysR,2873642,2874577,DNA-binding transcriptional dual regulator,2874109.5,
2826,ECB_02688,cds,ygeA,2874564,2875256,predicted racemase,2874910.0,"{'ebr00260': 'Glycine, serine and threonine metabolism', 'ebr00270': 'Cysteine and methionine metabolism', 'ebr00310': 'Lysine degradation', 'ebr00470': 'D-Amino acid metabolism', 'ebr01100': 'Metabolic pathways'}"
2827,ECB_02689,cds,araE,2875385,2876803,arabinose transporter,2876094.0,
2828,ECB_02690,cds,kduD,2877118,2877879,2-deoxy-D-gluconate 3-dehydrogenase,2877498.5,"{'ebr00040': 'Pentose and glucuronate interconversions', 'ebr01100': 'Metabolic pathways'}"
2829,ECB_02691,cds,kduI,2877909,2878745,5-keto-4-deoxyuronate isomerase,2878327.0,"{'ebr00040': 'Pentose and glucuronate interconversions', 'ebr01100': 'Metabolic pathways'}"
2830,ECB_02692,cds,yqeF,2879032,2880213,acetyl-CoA acetyltransferase,2879622.5,"{'ebr00071': 'Fatty acid degradation', 'ebr00280': 'Valine, leucine and isoleucine degradation', 'ebr00310': 'Lysine degradation', 'ebr00362': 'Benzoate degradation', 'ebr00380': 'Tryptophan metabolism', 'ebr00620': 'Pyruvate metabolism', 'ebr00630': 'Glyoxylate and dicarboxylate metabolism', 'ebr00650': 'Butanoate metabolism', 'ebr00900': 'Terpenoid backbone biosynthesis', 'ebr01100': 'Metabolic pathways', 'ebr01110': 'Biosynthesis of secondary metabolites', 'ebr01120': 'Microbial metabolism in diverse environments', 'ebr01200': 'Carbon metabolism', 'ebr01212': 'Fatty acid metabolism', 'ebr02020': 'Two-component system'}"
2831,ECB_02693,cds,yqeG,2880469,2881698,predicted transporter,2881083.5,
2832,ECB_02694,cds,yqeH,2882158,2882727,conserved hypothetical protein with bipartite regulator domain,2882442.5,
2833,ECB_02695,cds,insE-5,2882765,2883073,putative transposase-related protein,2882919.0,
2834,ECB_02696,cds,insF-5,2883130,2883936,putative transposase for IS3,2883533.0,
2835,ECB_02697,cds,ygeQ,2883950,2884501,hypothetical protein,2884225.5,
2836,ECB_t00054,ncrna,glyU,2884739,2884812,,2884775.5,{'ebr00970': 'Aminoacyl-tRNA biosynthesis'}
2837,EBG00001040521,ncrna,tRNA,2884742,2884812,,2884777.0,
2838,ECB_02698,cds,ygeR,2884891,2885646,Tetratricopeptide repeat transcriptional regulator,2885268.5,
2839,ECB_02699,cds,xdhA,2886100,2888358,"xanthine dehydrogenase, molybdenum binding subunit",2887229.0,"{'ebr00230': 'Purine metabolism', 'ebr01100': 'Metabolic pathways', 'ebr01120': 'Microbial metabolism in diverse environments', 'ebr01232': 'Nucleotide metabolism'}"
2840,ECB_02700,cds,xdhB,2888369,2889247,"xanthine dehydrogenase, FAD-binding subunit",2888808.0,"{'ebr00230': 'Purine metabolism', 'ebr01100': 'Metabolic pathways', 'ebr01120': 'Microbial metabolism in diverse environments', 'ebr01232': 'Nucleotide metabolism'}"
2841,ECB_02701,cds,xdhC,2889244,2889723,"xanthine dehydrogenase, Fe-S binding subunit",2889483.5,"{'ebr00230': 'Purine metabolism', 'ebr01100': 'Metabolic pathways', 'ebr01120': 'Microbial metabolism in diverse environments', 'ebr01232': 'Nucleotide metabolism'}"
2842,ECB_02702,cds,ygeV,2889763,2891541,predicted DNA-binding transcriptional regulator,2890652.0,
2843,ECB_02703,cds,ygeW,2892017,2893207,hypothetical protein,2892612.0,
2844,ECB_02704,cds,ygeX,2893265,2894461,diaminopropionate ammonia-lyase,2893863.0,
2845,ECB_02705,cds,ygeY,2894519,2895730,hypothetical protein,2895124.5,
2846,ECB_02706,cds,ygeZ,2895783,2897168,dihydropyrimidinase,2896475.5,"{'ebr00240': 'Pyrimidine metabolism', 'ebr00410': 'beta-Alanine metabolism', 'ebr00770': 'Pantothenate and CoA biosynthesis', 'ebr01100': 'Metabolic pathways'}"
2847,ECB_02707,cds,yqeA,2897216,2898148,predicted amino acid kinase,2897682.0,"{'ebr00220': 'Arginine biosynthesis', 'ebr00230': 'Purine metabolism', 'ebr00910': 'Nitrogen metabolism', 'ebr01100': 'Metabolic pathways', 'ebr01120': 'Microbial metabolism in diverse environments', 'ebr01200': 'Carbon metabolism'}"
2848,ECB_02708,cds,yqeB,2898369,2899994,conserved hypothetical protein with NAD(P)-binding Rossman fold,2899181.5,
2849,ECB_02709,cds,yqeC,2900042,2900812,hypothetical protein,2900427.0,
2850,ECB_02710,cds,ygfJ,2900915,2901493,hypothetical protein,2901204.0,"{'ebr00790': 'Folate biosynthesis', 'ebr01100': 'Metabolic pathways'}"
2851,ECB_02711,cds,ygfK,2901814,2904912,"predicted oxidoreductase, Fe-S subunit",2903363.0,{'ebr00450': 'Selenocompound metabolism'}
2852,ECB_02712,cds,ssnA,2904915,2906243,putative chlorohydrolase/aminohydrolase,2905579.0,
2853,ECB_02713,cds,ygfM,2906294,2907073,predicted oxidoreductase,2906683.5,{'ebr00450': 'Selenocompound metabolism'}
2854,ECB_02714,cds,xdhD,2907070,2909940,fused predicted xanthine/hypoxanthine oxidase,2908505.0,{'ebr00450': 'Selenocompound metabolism'}
2855,ECB_02715,cds,ygfO,2910105,2911505,predicted transporter,2910805.0,
2856,ECB_02716,cds,guaD,2911520,2912839,guanine deaminase,2912179.5,"{'ebr00230': 'Purine metabolism', 'ebr01100': 'Metabolic pathways', 'ebr01232': 'Nucleotide metabolism'}"
2857,ECB_02717,cds,ygfQ,2912875,2914242,predicted transporter,2913558.5,
2858,ECB_02718,cds,ygfS,2914278,2914610,"predicted oxidoreductase, 4Fe-4S ferredoxin-type subunit",2914444.0,
2859,ECB_02719,cds,ygfT,2914766,2916685,fused predicted oxidoreductase,2915725.5,
2860,ECB_02720,cds,ygfU,2917121,2918569,predicted transporter,2917845.0,
2861,ECB_02721,cds,idi,2918819,2919367,isopentenyl-diphosphate delta-isomerase,2919093.0,"{'ebr00900': 'Terpenoid backbone biosynthesis', 'ebr01100': 'Metabolic pathways', 'ebr01110': 'Biosynthesis of secondary metabolites'}"
2862,ECB_02722,cds,lysS,2919410,2920927,"lysine tRNA synthetase, constitutive",2920168.5,{'ebr00970': 'Aminoacyl-tRNA biosynthesis'}
2863,ECB_02723,cds,prfB,2920937,2922035,peptide chain release factor 2,2921486.0,
2864,ECB_02724,cds,recJ,2922126,2923859,"ssDNA exonuclease, 5'-> 3'-specific",2922992.5,"{'ebr03410': 'Base excision repair', 'ebr03430': 'Mismatch repair', 'ebr03440': 'Homologous recombination'}"
2865,ECB_02725,cds,dsbC,2923865,2924575,protein disulfide isomerase II,2924220.0,
2866,ECB_02726,cds,xerD,2924600,2925496,site-specific tyrosine recombinase XerD,2925048.0,
2867,ECB_02727,cds,fldB,2925608,2926129,flavodoxin 2,2925868.5,
2868,ECB_02728,cds,ygfX,2926169,2926576,hypothetical protein,2926372.5,
2869,ECB_02729,cds,ygfY,2926557,2926823,hypothetical protein,2926690.0,
2870,ECB_02730,cds,ygfZ,2927066,2928046,putative global regulator,2927556.0,
2871,ECB_02731,cds,yqfA,2928242,2928901,"predicted oxidoreductase, inner membrane subunit",2928571.5,
2872,ECB_02732,cds,yqfB,2929065,2929376,hypothetical protein,2929220.5,
2873,ECB_02733,cds,bglA,2929415,2930854,6-phospho-beta-glucosidase A,2930134.5,"{'ebr00010': 'Glycolysis / Gluconeogenesis', 'ebr00500': 'Starch and sucrose metabolism'}"
2874,ECB_02734,cds,ygfF,2930911,2931654,predicted NAD(P)-binding oxidoreductase with NAD(P)-binding Rossmann-fold domain,2931282.5,
2875,ECB_02735,cds,gcvP,2931920,2934793,glycine dehydrogenase,2933356.5,"{'ebr00260': 'Glycine, serine and threonine metabolism', 'ebr00630': 'Glyoxylate and dicarboxylate metabolism', 'ebr01100': 'Metabolic pathways', 'ebr01110': 'Biosynthesis of secondary metabolites', 'ebr01200': 'Carbon metabolism'}"
2876,ECB_02736,cds,gcvH,2934912,2935301,glycine cleavage system protein H,2935106.5,"{'ebr00260': 'Glycine, serine and threonine metabolism', 'ebr00630': 'Glyoxylate and dicarboxylate metabolism', 'ebr01100': 'Metabolic pathways', 'ebr01110': 'Biosynthesis of secondary metabolites', 'ebr01200': 'Carbon metabolism'}"
2877,ECB_02737,cds,gcvT,2935325,2936419,glycine cleavage system aminomethyltransferase T,2935872.0,"{'ebr00260': 'Glycine, serine and threonine metabolism', 'ebr00630': 'Glyoxylate and dicarboxylate metabolism', 'ebr00670': 'One carbon pool by folate', 'ebr01100': 'Metabolic pathways', 'ebr01110': 'Biosynthesis of secondary metabolites', 'ebr01200': 'Carbon metabolism'}"
